,Date,A,AAP,AAPL,ABT,ACN,ADBE,ADM,ADS,AEE,AES,AFL,AGN,AIG,AIV,AKAM,ALL,AMAT,AMZN,APH,APTV,BBY,CAH,CCL,COF,COST,CPRI,DVN,GOOG,KMX,MMM,MO,T,XRAY,GSPC,RF
0,2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2011-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2012-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2012-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2012-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2012-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2012-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2012-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2012-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2012-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2012-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2012-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2012-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2012-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2012-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2012-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2012-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2012-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2012-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2012-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2012-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2012-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2012-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2012-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2012-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2012-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2012-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2012-11-26,1.3122,1.6102,1.2808,0.6868,0.9136,1.0831,0.9764,0.9231,0.4971,1.1883,1.4266,0.673,1.7159,0.9803,1.4818,1.0576,1.503,1.1519,1.4897,1.1663,1.1993,0.5175,0.9154,1.6374,0.7577,1.8665,1.2523,0.5419,0.9004,0.9351,0.4578,0.6364,1.0416,1.0,0.002
50,2012-12-03,1.293,1.6554,1.2668,0.7036,1.0638,1.1823,0.933,0.9503,0.4535,1.2118,1.4326,0.6675,1.7899,0.9397,1.1551,1.0543,1.5204,1.3318,1.3925,1.171,1.2824,0.5608,1.053,1.8062,0.7768,1.7744,1.253,0.5687,0.9951,0.9165,0.4443,0.6082,1.0664,1.0,0.002
51,2012-12-10,1.2929,1.6613,1.2807,0.7075,1.0695,1.1847,0.9277,0.9407,0.464,1.2172,1.44,0.6487,1.7667,0.9418,1.1628,1.0486,1.5207,1.3197,1.3932,1.1612,1.3066,0.558,1.0482,1.8018,0.7735,1.7855,1.2554,0.5863,1.0032,0.9166,0.4511,0.6193,1.0608,1.0,0.003
52,2012-12-17,1.2163,1.648,1.2773,0.7303,1.115,1.1654,0.9214,0.9714,0.5054,1.1987,1.4437,0.6219,1.7858,0.9536,1.1647,1.0633,1.5067,1.2959,1.3935,1.1359,1.2495,0.5209,1.0536,1.7637,0.7954,1.8898,1.2268,0.5774,1.0389,0.9066,0.4986,0.6478,1.0646,1.0,0.003
53,2012-12-24,1.2092,1.6166,1.2867,0.7366,1.064,1.1566,0.9331,0.9585,0.5476,1.1866,1.4559,0.65,1.7632,0.9883,1.2172,1.0409,1.5041,1.3223,1.3946,1.1184,1.2211,0.5157,1.0124,1.7398,0.8119,1.9185,1.2589,0.6074,1.0495,0.906,0.4603,0.6212,1.0571,1.0,0.003
54,2012-12-31,1.1815,1.5086,1.3185,0.7513,1.0461,1.1242,0.9238,0.963,0.613,1.1803,1.3586,0.7981,1.7368,0.9159,1.2842,1.0309,1.4109,1.3111,1.2356,1.0474,1.1796,0.5169,1.174,1.8732,0.8502,1.936,1.3053,0.739,1.1057,0.8951,0.4951,0.6216,1.0286,1.0,0.003
55,2013-01-07,1.2548,1.4046,1.2415,0.8334,1.0518,1.0651,1.0278,0.9612,0.6131,1.2221,1.1695,0.5509,1.6372,0.8658,1.1102,1.0404,1.3708,1.2901,1.2142,0.9566,1.2763,0.587,1.0913,1.8573,0.8743,1.8352,1.3393,0.782,1.044,0.8859,0.5494,0.687,1.0244,1.0,0.0
56,2013-01-14,1.2079,1.4083,1.2374,0.8615,1.0396,1.0613,1.0607,0.9342,0.6223,1.236,1.1774,0.6091,1.5839,0.8681,1.0731,1.0055,1.3428,1.387,1.2357,0.8195,1.3976,0.6121,1.0579,1.819,0.8397,1.7814,1.3997,0.7692,1.1485,0.9068,0.5351,0.6688,1.042,1.0,0.0
57,2013-01-21,1.2074,1.4261,1.2308,0.8485,1.0299,1.0578,1.0728,0.9338,0.6208,1.2361,1.1504,0.613,1.5693,0.8714,1.1071,1.0031,1.3826,1.3832,1.2223,0.8182,1.4377,0.6276,1.0656,1.7634,0.8355,1.7914,1.4036,0.744,1.1575,0.9142,0.54,0.6583,1.0468,1.0,0.0
58,2013-01-28,1.2469,1.3899,1.1396,0.8359,1.0332,1.0549,1.064,0.9362,0.6181,1.1879,1.1852,0.578,1.5879,0.8764,1.1437,1.0078,1.3945,1.4304,1.2075,0.797,1.4593,0.6413,1.0817,1.753,0.8423,1.6616,1.2978,0.7925,1.1752,0.9264,0.5345,0.6681,1.0453,1.0,0.0
59,2013-02-04,1.2455,1.3831,1.1455,0.8438,1.0363,1.0516,1.0577,0.9298,0.6216,1.1859,1.1814,0.5922,1.5994,0.8669,1.1485,1.0118,1.4036,1.4061,1.2089,0.7946,1.4688,0.6319,1.0823,1.7505,0.8458,1.6454,1.3148,0.7992,1.169,0.9266,0.5395,0.6795,1.0463,1.0,0.001
60,2013-02-11,1.2443,1.3868,1.1467,0.8442,1.0358,1.0524,1.062,0.9289,0.6218,1.1875,1.1774,0.5903,1.5967,0.8716,1.1379,1.0123,1.4073,1.405,1.2109,0.7917,1.4666,0.6351,1.0804,1.7507,0.8437,1.6396,1.3192,0.799,1.1664,0.9277,0.5404,0.6781,1.0458,1.0,0.001
61,2013-02-18,1.2498,1.3873,1.1483,0.8437,1.0367,1.053,1.0562,0.9298,0.6207,1.1853,1.1752,0.5916,1.5929,0.8713,1.1341,1.0129,1.4077,1.4064,1.2117,0.7881,1.4625,0.6355,1.0837,1.7541,0.8467,1.6362,1.3192,0.7956,1.1706,0.9267,0.5423,0.6787,1.0447,1.0,0.001
62,2013-02-25,1.2547,1.414,1.0725,0.8469,1.0059,1.0847,1.0618,0.9465,0.6629,1.2185,1.1508,0.6524,1.6686,0.8253,1.1687,1.0046,1.4038,1.4598,1.2335,0.8264,1.447,0.6921,1.0556,1.6824,0.866,1.8297,1.3364,0.7651,1.193,0.9117,0.5806,0.6838,1.0448,1.0,0.001
63,2013-03-04,1.2455,1.4247,1.0869,0.8552,1.0168,1.087,1.066,0.9519,0.6748,1.215,1.1415,0.7008,1.675,0.8194,1.1633,1.0018,1.4027,1.4863,1.2295,0.8119,1.4913,0.7001,1.0519,1.6991,0.8661,1.8407,1.3338,0.7786,1.1948,0.9072,0.5928,0.6834,1.0415,1.0,0.001
64,2013-03-11,1.2498,1.4037,1.0685,0.8678,1.0545,1.1074,1.0668,0.9189,0.6463,1.2272,1.1077,0.6998,1.6532,0.8125,1.1564,1.004,1.3706,1.4714,1.2026,0.8038,1.7463,0.6654,1.015,1.7193,0.8609,1.7722,1.3708,0.7987,1.2609,0.9037,0.5903,0.6928,1.0571,1.0,0.001
65,2013-03-18,1.2629,1.4358,1.125,0.8644,1.0531,1.0949,1.0682,0.9221,0.6424,1.2309,1.0985,0.7158,1.6967,0.8149,1.1365,1.0019,1.3482,1.4337,1.197,0.8076,1.7448,0.6513,0.9823,1.7329,0.8423,1.7872,1.3917,0.7832,1.2379,0.892,0.5992,0.6846,1.0531,1.0,0.001
66,2013-03-25,1.2283,1.4875,1.0838,0.8483,1.041,1.0944,1.0764,0.9226,0.6276,1.2104,1.0553,0.7312,1.7427,0.8216,1.1962,1.0024,1.3621,1.4315,1.2137,0.8318,1.74,0.6588,1.0508,1.7358,0.8112,1.716,1.3708,0.7861,1.1899,0.8878,0.6173,0.7051,1.0797,1.0,0.001
67,2013-04-01,1.2343,1.4979,1.0806,0.8591,1.044,1.0981,1.086,0.9236,0.6331,1.2166,1.0619,0.7295,1.7536,0.8263,1.1967,1.0041,1.367,1.4396,1.2236,0.8401,1.7365,0.6477,1.0486,1.738,0.8096,1.7348,1.3733,0.7884,1.1989,0.8808,0.6185,0.7039,1.0804,1.0,0.001
68,2013-04-08,1.2343,1.5009,1.0577,0.8092,1.0252,1.1002,1.0977,0.9578,0.6097,1.2168,1.0298,0.5903,1.6932,0.7698,1.3665,0.9915,1.3749,1.2962,1.2531,0.9196,1.5726,0.6075,1.0375,1.7064,0.813,1.665,1.3391,0.7809,1.2316,0.8745,0.6065,0.6192,1.079,1.0,0.001
69,2013-04-15,1.2995,1.5228,0.9996,0.8607,0.9811,1.1051,1.1732,0.9322,0.6231,1.2628,0.9861,0.5221,1.6853,0.7788,1.413,1.0583,1.3162,1.3916,1.179,0.874,1.3774,0.669,1.0489,1.6938,0.6942,1.6259,1.278,0.7365,1.2366,0.8941,0.677,0.6564,1.0444,1.0,0.001
70,2013-04-22,1.3345,1.5001,1.1371,0.8232,0.926,1.0761,1.184,0.8907,0.5946,1.2827,0.9829,0.4769,1.661,0.7994,1.423,1.1013,1.346,1.4541,1.1416,0.9546,1.3231,0.6528,1.0324,1.5954,0.7212,1.5987,1.349,0.7116,1.2476,0.8806,0.6824,0.6559,1.0375,1.0,0.001
71,2013-04-29,1.4635,0.6622,1.1751,0.8838,1.0472,1.1172,1.3022,0.8711,0.6144,1.4128,0.791,0.3922,1.5188,0.6435,1.5557,1.005,1.4211,1.4126,1.1083,0.94,1.2647,0.6346,1.1565,1.4745,0.7838,1.5893,1.4534,0.7739,1.2504,0.8341,0.8026,0.7213,1.0022,1.0,0.001
72,2013-05-06,1.3988,0.5733,1.2064,0.878,1.0578,1.1602,1.3022,0.8676,0.6264,1.3838,0.8172,0.4176,1.5973,0.579,1.5927,0.9586,1.4558,1.4251,1.1076,0.9159,1.3499,0.6837,1.1444,1.4513,0.7634,1.5199,1.5803,0.8572,1.2388,0.8554,0.7987,0.7266,0.9919,1.0,0.0
73,2013-05-13,1.347,0.5142,1.3527,0.849,1.0259,1.02,1.2962,0.8156,0.6596,1.3114,0.8099,0.3732,1.5224,0.5984,1.6243,0.991,1.4483,1.5064,1.1206,0.948,1.2857,0.6547,1.1888,1.4279,0.8713,1.394,1.6526,0.8299,1.1375,0.8669,0.8307,0.815,0.8876,1.0,0.0
74,2013-05-20,1.4114,0.4335,1.282,0.8709,0.9698,0.9421,1.3489,0.8318,0.631,1.1917,0.7619,0.442,1.3292,0.5979,1.582,0.9628,1.3415,1.5139,1.0844,1.086,1.2086,0.6528,1.0854,1.3217,0.874,1.4729,1.7317,0.9077,1.2051,0.8379,0.8134,0.8259,0.8659,1.0,0.0
75,2013-05-27,1.3843,0.5351,1.2155,0.8114,0.9619,0.9959,1.3815,0.7762,0.6895,1.2054,0.7443,0.4629,1.3148,0.6464,1.5938,1.0063,1.363,1.5438,1.1632,1.1059,1.2429,0.6555,1.1192,1.2787,0.8257,1.4625,1.7471,0.9963,1.2855,0.8364,0.7986,0.8159,0.8837,1.0,0.0
76,2013-06-03,1.3453,0.5369,1.1917,0.8431,0.9273,0.9411,1.3681,0.8096,0.6952,1.2,0.6754,0.5366,1.3051,0.6749,1.5609,1.008,1.2852,1.4963,1.1506,1.0175,1.0989,0.6346,1.0488,1.2494,0.8751,1.4626,1.7188,1.001,1.1987,0.8102,0.8433,0.8635,0.8406,1.0,0.0
77,2013-06-10,1.3716,0.5597,1.2031,0.8237,0.8839,0.9423,1.3999,0.7713,0.6985,1.1417,0.6529,0.4998,1.32,0.6622,1.5535,0.9903,1.3026,1.5044,1.1929,1.1651,0.9894,0.6411,1.0415,1.2406,0.8355,1.5471,1.6906,1.016,1.2339,0.7887,0.835,0.8686,0.8468,1.0,0.0
78,2013-06-17,1.3656,0.5958,1.2571,0.8455,0.8563,0.9454,1.3418,0.7749,0.7194,1.1451,0.6369,0.4847,1.2895,0.7067,1.6098,0.9905,1.264,1.4896,1.1856,1.1671,1.0236,0.6072,0.966,1.2458,0.8091,1.6114,1.7219,1.0241,1.269,0.7757,0.8583,0.8347,0.8308,1.0,0.0
79,2013-06-24,1.3416,0.6216,1.2583,0.8833,0.8515,0.7972,1.2636,0.8027,0.7162,1.2438,0.651,0.5721,1.3153,0.7552,1.6219,0.9232,1.2461,1.4107,1.1145,1.1993,0.9615,0.6083,0.9319,1.1654,0.822,1.5771,1.6423,0.9623,1.3085,0.7668,0.8261,0.8825,0.7906,1.0,0.0
80,2013-07-01,1.3336,0.6214,1.238,0.8695,0.7971,0.7992,1.2725,0.8237,0.7328,1.2631,0.6605,0.5873,1.3223,0.7923,1.6377,0.9263,1.2347,1.4095,1.1089,1.2012,0.9704,0.6047,0.9408,1.1711,0.8266,1.5921,1.6186,0.9514,1.3163,0.7598,0.8244,0.894,0.7883,1.0,0.0
81,2013-07-08,1.3699,0.6969,1.3426,0.8489,0.7974,0.8187,1.2855,0.8356,0.6874,1.3363,0.6387,0.5277,1.3187,0.7999,1.4262,0.9432,1.217,1.3996,1.1089,1.209,1.1067,0.6472,0.941,1.189,0.8232,1.5741,1.6852,0.9238,1.3023,0.7626,0.8448,0.8467,0.8034,1.0,0.0
82,2013-07-15,1.3619,0.6533,1.3315,0.8228,0.8001,0.8214,1.29,0.8725,0.7671,1.3973,0.6658,0.4752,1.3039,0.8228,1.4339,0.964,1.3349,1.4757,1.1717,1.2171,1.02,0.6975,0.9402,1.1554,0.8601,1.4965,1.6367,0.9302,1.237,0.7819,0.885,0.7995,0.7625,1.0,0.0
83,2013-07-22,1.3488,0.6501,1.3268,0.8364,0.7906,0.8134,1.2903,0.8662,0.769,1.4312,0.6545,0.4744,1.2878,0.8409,1.4312,0.9599,1.3022,1.4859,1.1348,1.2211,0.968,0.6912,0.9483,1.1861,0.8808,1.4801,1.6165,0.9267,1.2196,0.785,0.9068,0.8074,0.742,1.0,0.0
84,2013-07-29,1.3948,0.6241,1.2883,0.8319,0.8081,0.8072,1.2931,0.8462,0.7869,1.4472,0.6475,0.4622,1.2673,0.8387,1.3982,0.971,1.3157,1.4676,1.1261,1.2128,0.9434,0.6982,0.9426,1.1861,0.885,1.3788,1.6363,0.9127,1.2136,0.7778,0.9148,0.8135,0.7431,1.0,0.0
85,2013-08-05,1.4163,0.619,1.3492,0.8283,0.8229,0.7613,1.313,0.8797,0.7891,1.4471,0.6641,0.4968,1.278,0.8222,1.3818,0.9701,1.3024,1.4647,1.126,1.1913,0.8426,0.694,0.9271,1.1925,0.8954,1.4393,1.6709,0.924,1.2217,0.7688,0.8823,0.8144,0.7092,1.0,0.0
86,2013-08-12,1.3909,0.6082,1.3484,0.8449,0.8316,0.7425,1.2795,0.8493,0.814,1.3738,0.673,0.4998,1.2685,0.7932,1.3797,0.9885,1.3393,1.481,1.1289,1.2113,0.8801,0.6725,0.9853,1.1929,0.9358,1.3627,1.5556,0.9421,1.2305,0.7619,0.8787,0.8314,0.7047,1.0,0.0
87,2013-08-19,1.296,0.6813,1.0318,0.8614,0.8059,0.7734,1.307,0.8524,0.8903,1.4222,0.6409,0.4699,1.3207,0.8523,1.3385,0.9805,1.3147,1.4782,1.1658,1.2058,0.8757,0.7398,0.8592,1.1871,0.9632,1.3444,1.5192,0.9687,1.2326,0.8016,0.9134,0.8187,0.6808,1.0,0.0
88,2013-08-26,1.2881,0.7575,1.0268,0.8514,0.8031,0.7643,1.3483,0.8859,0.9354,1.4408,0.6216,0.5244,1.3193,0.8702,1.3691,0.9602,1.3316,1.5081,1.1801,1.2222,0.8965,0.7644,0.8502,1.1707,0.9588,1.4538,1.4599,0.9934,1.2736,0.8078,0.9951,0.8405,0.6903,1.0,0.0
89,2013-09-02,1.2765,0.8018,1.038,0.9107,0.8145,0.7526,1.3487,0.926,0.9121,1.3999,0.629,0.5121,1.294,0.8821,1.3647,0.9875,1.3237,1.5055,1.1811,1.2096,0.8133,0.7808,0.8609,1.1702,0.9484,1.4088,1.4203,1.0279,1.2347,0.7823,1.0061,0.844,0.673,1.0,0.0
90,2013-09-09,1.2772,0.7927,1.0186,0.9028,0.9279,0.7103,1.3729,0.9358,0.902,1.4166,0.6253,0.5305,1.2913,0.8601,1.3834,0.975,1.3199,1.5483,1.1075,1.1863,0.7648,0.7905,0.8281,1.1826,0.9407,1.3271,1.4448,1.1055,1.2458,0.7802,1.002,0.8312,0.7276,1.0,0.0
91,2013-09-16,1.2773,0.7684,0.9329,0.9086,0.9324,0.7251,1.3362,0.9552,0.8734,1.4217,0.6655,0.4735,1.2496,0.9105,1.4428,0.9781,1.3404,1.5231,1.134,1.1328,0.7589,0.8093,0.8617,1.1805,0.946,1.272,1.4358,1.0906,1.1934,0.7875,0.9913,0.857,0.761,1.0,0.0
92,2013-09-23,1.2854,0.7463,0.9202,0.8832,0.9597,0.7716,1.3937,0.8916,0.9457,1.4183,0.6738,0.4356,1.3095,0.9552,1.4097,1.0215,1.3342,1.489,1.1625,1.1371,0.6976,0.8572,0.8693,1.217,0.8859,1.3139,1.5773,1.0772,1.4693,0.7649,1.0025,0.7877,0.7232,1.0,0.0
93,2013-09-30,1.2821,0.7144,0.8562,0.9454,0.9971,0.7764,1.38,0.8887,0.9164,1.3908,0.6712,0.361,1.3139,0.9774,1.4142,1.0317,1.1976,1.4695,1.1363,1.1217,0.7142,0.8752,1.002,1.2029,0.8988,1.3241,1.5655,1.0974,1.502,0.7552,1.0159,0.7845,0.7332,1.0,0.0
94,2013-10-07,1.3134,0.7156,0.8678,0.947,1.0096,0.8266,1.3264,0.8669,0.9109,1.3343,0.6679,0.3436,1.2917,0.976,1.5295,0.9683,1.1878,1.4865,1.1387,1.0628,0.4719,0.8437,1.022,1.2032,0.9572,1.3253,1.5052,1.1058,1.5538,0.6796,0.9956,0.7747,0.7485,1.0,0.001
95,2013-10-14,1.3116,0.7406,0.8665,0.9454,1.0072,0.8272,1.3189,0.8709,0.9201,1.3422,0.6717,0.3256,1.2777,0.9834,1.5212,0.9572,1.1917,1.4684,1.1394,1.0652,0.4666,0.8475,1.0248,1.2119,0.956,1.3109,1.512,1.1054,1.552,0.6809,1.001,0.7796,0.7507,1.0,0.001
96,2013-10-21,1.3762,1.0349,0.8234,1.1527,0.9797,0.7129,1.2546,0.9002,0.7576,1.2508,0.649,0.3026,1.3249,0.9655,1.4236,1.0201,1.1569,1.5267,1.2877,1.0837,0.6613,0.8163,1.1326,1.0965,0.975,1.0978,1.4396,1.2899,1.5619,0.7011,1.0203,0.7406,0.8541,1.0,0.001
97,2013-10-28,1.3405,1.0346,0.8032,1.1232,1.0207,0.7071,1.2609,0.8763,0.7136,1.2651,0.7144,0.2496,1.3223,0.9228,1.3969,1.0441,1.068,1.5857,1.2513,1.0732,0.4272,0.7901,1.0998,1.0294,0.9953,1.1164,1.4359,1.269,1.5504,0.7053,1.0348,0.7433,0.8576,1.0,0.001
98,2013-11-04,1.4141,1.0822,0.6293,1.1757,1.0408,0.7381,1.1676,0.9745,0.9001,1.3614,0.7239,0.1934,1.4149,1.006,1.575,1.0263,1.1411,1.5787,1.2787,1.0415,1.0911,0.8135,1.0498,0.9707,1.0229,1.1912,1.5515,1.3234,1.5576,0.7363,0.9171,0.6991,0.8692,1.0,0.001
99,2013-11-11,1.4121,1.084,0.6283,1.177,1.0426,0.7367,1.1683,0.9753,0.8978,1.36,0.7235,0.1918,1.4147,1.003,1.5745,1.0274,1.1393,1.5751,1.2794,1.0394,1.0851,0.8147,1.0523,0.9719,1.0217,1.1925,1.5496,1.3208,1.5559,0.7366,0.917,0.6978,0.8695,1.0,0.001
100,2013-11-18,1.4695,1.0819,0.6051,1.1577,1.0753,0.7728,1.1236,0.9772,0.8933,1.4225,0.74,0.2329,1.415,0.9837,1.5834,1.0287,1.1038,1.6072,1.2912,1.064,1.036,0.8397,1.0252,0.9681,0.9963,1.2013,1.5424,1.3056,1.5839,0.7351,0.9109,0.6908,0.8681,1.0,0.001
101,2013-11-25,1.5198,1.0928,0.5697,1.1573,1.0878,0.8204,1.115,0.9838,0.8852,1.4215,0.7353,0.2151,1.4115,0.9925,1.5977,1.0019,1.1129,1.5953,1.3041,1.0684,1.0524,0.8652,1.0371,0.9673,1.0396,1.1748,1.5274,1.3286,1.5603,0.7386,0.9071,0.6989,0.8804,1.0,0.001
102,2013-12-02,1.5144,1.1254,0.531,1.1607,1.1277,0.8286,1.1302,0.9918,0.8569,1.426,0.7342,0.212,1.4082,0.974,1.5514,1.0158,1.0981,1.5646,1.288,1.0423,1.0966,0.8885,1.0522,0.9386,1.031,1.1357,1.5285,1.3179,1.5148,0.7345,0.9486,0.7151,0.8805,1.0,0.001
103,2013-12-09,1.4946,1.205,0.4974,1.1614,1.129,0.8102,1.0804,0.9667,0.8212,1.3776,0.6791,0.1232,1.4664,1.0167,1.5466,1.0263,1.1018,1.5206,1.2852,1.2016,1.0051,0.8375,1.0514,0.8889,1.0259,0.9642,1.493,1.3116,1.5006,0.7422,0.9569,0.7336,0.8251,1.0,0.001
104,2013-12-16,1.3669,1.1777,0.4553,1.1093,1.1201,0.5978,1.0299,0.9388,0.9516,1.5727,0.8922,0.5982,1.4891,1.0683,1.7626,1.0226,1.1203,1.5642,1.3026,1.3542,1.0373,0.7283,1.0283,0.6885,1.0507,0.7989,1.4746,1.3362,1.6426,0.7696,0.9369,0.6309,0.7605,1.0,0.001
105,2013-12-23,1.3646,1.0869,0.4035,1.1431,1.268,0.4779,1.1342,0.8645,1.0007,1.5946,0.8228,0.5752,1.46,1.0371,1.771,1.0041,1.1153,1.5798,1.312,1.254,0.882,0.7017,1.1625,0.754,1.0022,0.7837,1.4748,1.3412,1.4054,0.9058,0.9765,0.6287,0.7424,1.0,0.001
106,2013-12-30,1.3479,1.0704,0.4448,1.1584,1.2815,0.4771,1.1267,0.8847,0.9842,1.5907,0.8572,0.5694,1.454,1.0299,1.7361,0.9902,1.0716,1.5475,1.3148,1.2567,0.8526,0.6801,1.1563,0.8138,0.989,0.7167,1.4774,1.3768,1.3544,0.9009,0.9558,0.6571,0.7201,1.0,0.001
107,2014-01-06,1.3309,1.0329,0.6035,1.1502,1.2722,0.4924,1.1446,0.8639,0.9929,1.6184,0.851,0.587,1.4283,1.0175,1.7183,0.9876,1.0627,1.5221,1.3211,1.2697,0.8236,0.6954,1.1417,0.8093,0.9931,0.6447,1.4769,1.3428,1.3408,0.9026,0.9571,0.6548,0.694,1.0,0.001
108,2014-01-13,1.3401,1.0469,0.59,1.1456,1.2707,0.4945,1.1423,0.8627,0.9955,1.6261,0.8507,0.5952,1.4161,1.0295,1.7226,0.9846,1.0542,1.5472,1.3216,1.2801,0.801,0.7141,1.1501,0.811,0.9888,0.6513,1.4574,1.3396,1.3427,0.8962,0.9472,0.6321,0.6969,1.0,0.001
109,2014-01-20,1.3164,1.0378,0.5841,1.1478,1.2562,0.4783,1.1646,0.8679,1.0007,1.6351,0.8508,0.602,1.4326,1.01,1.6962,1.0,1.0537,1.5415,1.3008,1.2649,1.1183,0.7374,1.1443,0.8673,0.995,0.6811,1.4743,1.3274,1.3528,0.8918,0.951,0.6176,0.7126,1.0,0.001
110,2014-01-27,1.3481,1.0302,0.4979,1.274,1.274,0.5816,1.2049,0.9095,0.9369,1.6278,0.9065,0.6947,1.5072,0.9625,1.5832,1.0611,1.0414,1.5182,1.4187,1.329,0.9828,0.8111,1.2045,0.8679,1.0243,0.5295,1.2948,1.2992,1.2699,0.9992,0.8385,0.5856,0.7942,1.0,0.001
111,2014-02-03,1.335,1.0395,0.5563,1.2594,1.2907,0.579,1.1992,0.9374,0.9006,1.608,0.9181,0.6278,1.5045,0.9438,1.5524,1.0624,1.0531,1.5815,1.4102,1.2868,1.0387,0.7617,1.1656,0.8446,1.014,0.4855,1.2465,1.2619,1.25,1.017,0.9028,0.5928,0.7713,1.0,0.001
112,2014-02-10,1.3386,1.0677,0.5633,1.2572,1.2909,0.6081,1.1977,0.9852,0.8924,1.6142,0.9118,0.6173,1.5058,0.9688,1.6337,1.0718,1.0583,1.5772,1.409,1.3074,1.054,0.7541,1.1759,0.8422,1.0179,0.5632,1.2536,1.2534,1.2688,1.0201,0.8911,0.5775,0.7592,1.0,0.001
113,2014-02-17,1.1258,1.0871,0.6626,1.2782,1.2327,0.6983,1.202,1.1032,0.9527,1.6222,0.9228,0.6051,1.4077,0.9366,1.7143,1.0177,1.2663,1.4841,1.3808,1.3189,0.7505,0.8417,1.223,0.7889,1.0184,0.6858,1.1974,1.2294,1.1011,1.006,0.8721,0.593,0.7098,1.0,0.001
