Date,ALL,AMZN,ADBE,AAP,AKAM,ADS,APH,AAPL,XRAY,GOOG,AES,AGN,COST,T,A,CAH,ABT,AFL,AIG,AMAT,ADM,BBY,CCL,DVN,MMM,MO,COF,AIV,KMX,AEE,ACN,APTV,CPRI,ARNC
12/2/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
12/23/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
12/30/2019,0.035,0.046,0.103,0.047,0.057,0.023,0.098,0.116,0.038,0.09,0.04,0.009,0.064,0.032,0.072,0.027,0.045,0.02,0.009,0.114,0.023,0.082,0.047,0.007,0.11,0.129,0.015,0.015,0.039,0.03,0.135,0.068,0.063,0.053
12/9/2019,0.02,0.052,0.106,0.044,0.06,0.03,0.102,0.113,0.028,0.085,0.042,0.006,0.069,0.032,0.077,0.03,0.042,0.019,0.007,0.125,0.024,0.094,0.049,0.065,0.101,0.136,0.015,0.018,0.04,0.03,0.145,0.072,0.08,0.052
2/11/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
2/18/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
2/25/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
2/4/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
3/11/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
3/18/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
